sample	group
LFQ_C37BM	BM
LFQ_C38BM	BM
LFQ_C39BM	BM
LFQ_C37PM	PM
LFQ_C38PM	PM
LFQ_C39PM	PM
LFQ_C37PPM	PPM
LFQ_C38PPM	PPM
LFQ_C39PPM	PPM
LFQ_C37BN	BN
LFQ_C39BN	BN
LFQ_C37PN	PN
LFQ_C39PN	PN
LFQ_C37PPN	PPN
LFQ_C39PPN	PPN
LFQ_C37BS	BS
LFQ_C38BS	BS
LFQ_C39BS	BS
LFQ_C37PS	PS
LFQ_C38PS	PS
LFQ_C39PS	PS
LFQ_C37PPS	PPS
LFQ_C38PPS	PPS
LFQ_C39PPS	PPS
LFQ_C37BW3	BW3
LFQ_C38BW3	BW3
LFQ_C39BW3	BW3
LFQ_C37PW3	PW3
LFQ_C38PW3	PW3
LFQ_C39PW3	PW3
LFQ_C37PPW3	PPW3
LFQ_C38PPW3	PPW3
LFQ_C39PPW3	PPW3
